(2, 3, 7, 21, 32, 33, 37)
(6, 21, 22, 24, 26, 32, 33)
(2, 6, 9, 13, 21, 24, 41)
(1, 2, 7, 8, 13, 17, 24)
(5, 7, 9, 13, 19, 22, 33)
(1, 6, 17, 19, 32, 33, 37)
(2, 6, 7, 9, 17, 26, 37)
(2, 5, 7, 8, 9, 10, 24)
(9, 10, 17, 19, 22, 33, 41)
(3, 5, 7, 13, 19, 37, 41)
(1, 7, 8, 9, 21, 33, 41)
(1, 6, 9, 13, 26, 32, 37)
(5, 10, 21, 22, 32, 37, 41)
(1, 3, 5, 10, 17, 22, 26)
(9, 10, 13, 17, 21, 24, 32)
(1, 2, 5, 6, 22, 24, 37)
(1, 2, 3, 6, 8, 10, 32)
(3, 8, 9, 21, 22, 26, 41)
(3, 6, 10, 13, 17, 24, 41)
(2, 3, 13, 19, 26, 32, 37)
(1, 2, 8, 17, 21, 33, 37)
(7, 8, 9, 10, 13, 22, 32)
(3, 7, 8, 19, 24, 32, 41)
(6, 7, 22, 24, 33, 37, 41)
(2, 7, 19, 21, 24, 26, 41)
(5, 6, 8, 19, 32, 33, 37)
(5, 9, 10, 19, 24, 26, 33)
(1, 3, 9, 13, 21, 32, 33)
(5, 6, 13, 19, 21, 22, 26)
(2, 3, 7, 8, 9, 19, 33)
(1, 6, 8, 21, 26, 32, 41)
(2, 5, 8, 13, 21, 24, 37)
(1, 3, 7, 10, 13, 21, 26)
(1, 7, 10, 17, 22, 24, 32)
(1, 6, 13, 17, 19, 22, 41)
(2, 3, 5, 7, 17, 21, 41)
(5, 6, 9, 10, 17, 33, 37)
(3, 7, 13, 17, 33, 37, 41)
(7, 10, 19, 21, 22, 33, 37)
(3, 5, 9, 10, 19, 26, 41)
(1, 3, 5, 8, 13, 22, 32)
(1, 5, 7, 8, 10, 26, 37)
(8, 13, 19, 21, 24, 33, 41)
(2, 3, 8, 9, 10, 17, 21)
(7, 9, 13, 21, 32, 37, 41)
(3, 5, 7, 13, 17, 24, 26)
(5, 17, 22, 24, 26, 33, 37)
(1, 5, 9, 19, 21, 22, 32)
(6, 8, 9, 10, 22, 24, 41)
(1, 2, 8, 19, 24, 26, 33)
(3, 10, 17, 19, 21, 26, 32)
(2, 5, 6, 8, 10, 13, 17)
(6, 9, 10, 17, 21, 32, 33)
(2, 8, 17, 22, 32, 37, 41)
(1, 3, 5, 6, 9, 37, 41)
(6, 10, 13, 19, 24, 26, 37)
(7, 8, 21, 24, 26, 32, 37)
(1, 2, 10, 17, 24, 26, 41)
(2, 3, 6, 9, 24, 33, 37)
(1, 2, 5, 6, 7, 19, 21)
(2, 5, 13, 24, 32, 33, 41)
